step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,x,y,theta,safety,action
0,67.2,69.3,67.9,67.0,67.7,68.8,67.9,68.9,0.0,0.0,9.801,-0.588,0.0,0.0,9.801,0.0,0.0,0.0,rough,0.0,0.0,67.2,67.9,0.0,0.0,0.0,ok,explorando (rough)
1,68.2,62.7,64.7,64.8,66.6,69.3,72.4,77.7,-0.0,0.0,9.818,-0.147,0.182,-37.547,0.018,0.0031,-0.295,0.301,sand,0.0,0.0,68.2,62.7,0.0001,0.0,0.201,ok,avanzando en sand
2,72.1,71.8,70.1,68.5,68.1,69.5,64.8,65.8,1.659,-0.0,9.788,4.404,-6712.398,-28.056,1.659,0.0691,-0.226,0.371,rough,0.018,9.6,65.8,64.8,0.0014,0.0003,0.183,ok,avanzando en rough
3,68.5,60.4,65.4,71.6,61.1,64.8,68.8,67.7,-0.252,0.0,9.835,2.167,3345.026,-21.868,1.911,0.0502,-0.176,0.421,rough,0,1.5,67.7,60.4,0.0024,0.0004,0.169,ok,avanzando en rough
4,66.5,65.6,66.3,65.1,67.5,70.9,66.7,69.6,-0.009,0.001,9.856,2.657,3570.183,-18.614,0.244,0.0502,-0.126,0.471,metal,0.0,0.1,66.5,65.6,0.0034,0.0006,0.157,ok,avanzando en metal
5,63.9,67.5,65.6,70.8,65.1,57.6,71.7,72.8,1.5,0.001,9.73,3.747,-3121.608,-14.353,1.514,0.1193,-0.006,0.59,rough,0.01,8.8,63.9,67.5,0.0058,0.0009,0.148,ok,avanzando en rough
6,71.9,63.0,64.9,64.4,73.3,66.6,71.6,62.8,-1.416,0.0,9.823,-0.265,3781.573,-12.331,2.917,0.0471,0.038,0.641,rough,0.062,8.2,62.8,63.0,0.0067,0.0011,0.142,ok,avanzando en rough
7,67.8,75.6,68.7,67.7,67.1,69.1,64.7,62.7,0.042,0.001,9.886,-1.075,-1866.061,-9.515,1.459,0.0502,0.088,0.691,rough,0.0,0.2,62.7,64.7,0.0077,0.0012,0.136,ok,avanzando en rough
8,59.6,69.2,62.0,76.0,69.9,61.1,64.8,65.5,0.037,0.0,9.8,-1.695,132.674,-7.584,0.087,0.0502,0.138,0.741,carpet,0,0.2,59.6,64.8,0.0087,0.0013,0.131,ok,avanzando en carpet
9,70.3,68.8,69.9,67.3,67.3,69.7,67.1,68.6,1.013,0.0,9.803,-0.821,95.925,-6.706,0.976,0.1005,0.239,0.842,rough,0,5.9,68.6,67.1,0.0107,0.0016,0.127,ok,avanzando en rough
10,70.3,70.8,68.3,68.7,58.8,63.3,65.3,56.1,-1.158,0.0,9.809,-1.154,4942.93,-4.99,2.172,0.0502,0.289,0.892,rough,0.0,6.7,56.1,65.3,0.0117,0.0017,0.124,ok,avanzando en rough
11,67.2,66.7,71.7,66.7,65.1,68.1,67.2,62.2,-0.072,0.0,9.773,-0.995,-2432.744,-3.984,1.087,0.0502,0.339,0.942,rough,0.0,0.4,62.2,66.7,0.0127,0.0018,0.121,ok,avanzando en rough
12,69.4,69.8,67.2,63.9,70.8,66.9,66.0,60.0,0.035,0.0,9.83,-1.39,-2539.456,-2.865,0.12,0.0502,0.389,0.992,metal,0,0.2,60.0,66.0,0.0137,0.002,0.119,ok,avanzando en metal
13,67.6,68.9,76.0,65.3,64.8,64.0,67.9,66.0,1.412,0.0,9.785,-0.884,59.276,-2.706,1.378,0.1225,0.515,1.112,rough,0,8.2,66.0,67.9,0.0161,0.0022,0.115,ok,avanzando en rough
14,73.2,65.1,61.2,70.0,67.1,70.6,68.9,71.6,-1.631,0.0,9.807,-0.966,6758.13,-1.753,3.043,0.0502,0.565,1.162,rough,0.0,9.4,71.6,65.1,0.0171,0.0024,0.114,ok,avanzando en rough
15,67.0,70.7,75.2,67.1,69.1,67.9,67.9,63.6,-0.111,0.0,9.772,-0.721,-3344.102,-1.162,1.52,0.0502,0.615,1.212,rough,0,0.7,63.6,67.9,0.0181,0.0025,0.113,ok,avanzando en rough
