step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,safety,action
0,67.2,69.3,67.9,67.0,67.7,68.8,67.9,68.9,0.0,0.0,9.801,-0.588,0.0,0.0,9.801,0.0,0.0,0.0,rough,0.0,0.0,67.2,67.9,ok,
1,65.8,69.2,65.8,70.0,66.9,70.4,68.0,72.5,0.0,0.0,9.835,-0.468,0.0,0.0,0.034,0.0,0.0,0.0,sand,0.0,0.0,65.8,68.0,ok,
2,67.5,63.6,68.0,67.2,66.7,66.5,65.9,68.8,0.0,0.0,9.768,-0.378,0.0,0.0,0.067,0.0,0.0,0.0,sand,0.0,0.0,67.5,63.6,ok,
3,66.9,71.4,70.3,68.1,72.2,68.8,67.6,63.8,0.0,0.0,9.756,-0.303,0.0,0.0,0.012,0.0,0.0,0.0,sand,0.0,0.0,63.8,67.6,ok,
4,66.3,64.5,71.6,67.0,61.6,66.8,70.1,64.9,0.0,0.0,9.811,-0.243,0.0,0.0,0.055,0.0,0.0,0.0,sand,0.0,0.0,64.9,64.5,ok,avanzando en sand a 35% slip=0.0
5,69.0,66.1,65.2,68.8,64.5,64.2,66.0,69.5,1.647,0.0,9.774,-0.193,-6678.998,-0.0,1.648,0.0691,0.069,0.069,rough,0.018,9.6,69.0,66.0,ok,avanzando en sand a 35% slip=0.0
6,68.2,62.7,64.7,64.8,66.6,69.3,72.4,77.7,0.141,0.0,9.802,-0.095,3305.598,-0.001,1.507,0.0691,0.138,0.138,rough,0.018,0.8,68.2,62.7,ok,avanzando en sand a 35% slip=0.0
7,72.1,71.8,70.1,68.5,68.1,69.5,64.8,65.8,-0.006,0.0,9.822,-0.136,3501.824,0.003,0.148,0.0754,0.214,0.214,metal,0,0.0,65.8,64.8,ok,avanzando en sand a 35% slip=0.0
8,68.5,60.4,65.4,71.6,61.1,64.8,68.8,67.7,-0.153,0.0,9.849,-0.109,3502.29,0.0,0.149,0.0691,0.283,0.283,metal,0.018,0.9,67.7,60.4,ok,avanzando en sand a 35% slip=0.0
9,66.5,65.6,66.3,65.1,67.5,70.9,66.7,69.6,-0.08,0.0,9.849,-0.054,-1734.326,0.001,0.073,0.0691,0.352,0.352,carpet,0.018,0.5,66.5,65.6,ok,avanzando en carpet a 50% slip=0.018
